n,endpoint_pair_distance,time_gap,causal_interval_nodes
3,0,0,1
3,0,1,2
3,0,2,6
3,0,3,10
3,1,1,2
3,1,2,6
3,1,3,10
3,1,4,14
5,0,0,1
5,0,1,2
5,0,2,13
5,0,3,24
5,1,1,2
5,1,2,10
5,1,3,24
5,1,4,40
5,2,2,8
5,2,3,24
5,2,4,40
5,2,5,56
7,0,0,1
7,0,1,2
7,0,2,24
7,0,3,46
7,1,1,2
7,1,2,14
7,1,3,46
7,1,4,98
7,2,2,8
7,2,3,40
7,2,4,96
7,2,5,160
7,3,3,32
7,3,4,96
7,3,5,160
7,3,6,224
9,0,0,1
9,0,1,2
9,0,2,39
9,0,3,76
9,1,1,2
9,1,2,18
9,1,3,76
9,1,4,204
9,2,2,8
9,2,3,56
9,2,4,184
9,2,5,392
9,3,3,32
9,3,4,160
9,3,5,384
9,3,6,640
9,4,4,128
9,4,5,384
9,4,6,640
9,4,7,896
