ell,k_projection_Mpc_inv,Cl_TT_proxy,finite_kernel
2,0.00018115942028985507,2.142943348885383e-10,0.012612431212456351
3,0.0002536231884057971,1.059200396307802e-10,0.018471709561176525
4,0.00032608695652173916,6.299131375814503e-11,0.016971102937885757
5,0.00039855072463768114,4.168463926484669e-11,0.00843295718835558
6,0.0004710144927536232,2.962565704287508e-11,0.02724152475626872
7,0.0005434782608695652,2.2123967877330737e-11,0.04342312271657936
8,0.0006159420289855072,1.7141021966474813e-11,0.05498577834646475
9,0.0006884057971014493,1.366585853151677e-11,0.06551421122858217
10,0.0007608695652173913,1.1145827701313831e-11,0.0732139158477398
11,0.0008333333333333334,9.26161707943327e-12,0.08047784499809886
12,0.0009057971014492754,7.816012504730868e-12,0.08658806594647599
13,0.0009782608695652175,6.682364474084111e-12,0.08981536090713811
14,0.0010507246376811595,5.7773124432332106e-12,0.09137839330400395
15,0.0011231884057971014,5.0435785572084854e-12,0.09235454703531132
16,0.0011956521739130434,4.440148250541126e-12,0.09060647753464127
17,0.0012681159420289854,3.937333900123931e-12,0.08282850423920057
18,0.0013405797101449276,3.5138316700891183e-12,0.06857091848137131
19,0.0014130434782608696,3.15428639494487e-12,0.05168768426508195
20,0.0014855072463768116,2.84721638460182e-12,0.03833966730947669
21,0.0015579710144927536,2.583540017246212e-12,0.03369709380782563
22,0.0016304347826086956,2.355756178138222e-12,0.03970653232465045
23,0.0017028985507246378,2.1575949818385904e-12,0.054855083270918426
24,0.0017753623188405798,1.9838892081559846e-12,0.07546007780192573
25,0.0018478260869565217,1.830485300356545e-12,0.09743576240105618
26,0.0019202898550724637,1.6941164734056369e-12,0.11766224726874071
27,0.0019927536231884057,1.5722360924979042e-12,0.1345773677617106
28,0.0020652173913043477,1.462841668926328e-12,0.14805920511047835
29,0.0021376811594202897,1.3643200762958409e-12,0.1589001824109578
30,0.0022101449275362317,1.2753306469796301e-12,0.1681977380350816
31,0.002282608695652174,1.194727935708783e-12,0.17688640583797602
32,0.002355072463768116,1.1215163897412695e-12,0.18550224764738552
33,0.002427536231884058,1.0548258158298152e-12,0.1941627592616709
34,0.0025,9.938975763671034e-13,0.20268686170337788
35,0.002572463768115942,9.380745214216266e-13,0.21076722501809309
36,0.002644927536231884,8.867909603885413e-13,0.21812509808115046
37,0.002717391304347826,8.395615223032837e-13,0.22460833629526977
38,0.002789855072463768,7.959692617856835e-13,0.23022290613098556
39,0.00286231884057971,7.556539654963744e-13,0.23510932054735434
40,0.002934782608695652,7.183015980436972e-13,0.23948607527495208
41,0.0030072463768115944,6.836355009738447e-13,0.24358360045487606
42,0.0030797101449275364,6.514095571601167e-13,0.2475875654710138
43,0.0031521739130434784,6.214031962056031e-13,0.2516028581082824
44,0.0032246376811594204,5.934179037734806e-13,0.2556418654836479
45,0.0032971014492753623,5.672748121383521e-13,0.25963452085512945
46,0.0033695652173913043,5.428129632205851e-13,0.26345371503169224
47,0.0034420289855072463,5.198879110439781e-13,0.2669481388522922
48,0.0035144927536231883,4.983704324756544e-13,0.269974997416706
49,0.0035869565217391303,4.781452164508797e-13,0.272426680796978
50,0.0036594202898550723,4.591094860776821e-13,0.27424773525071133
51,0.0037318840579710147,4.4117156758778607e-13,0.27544080210345434
52,0.0038043478260869567,4.2424945436790523e-13,0.27606218763023166
53,0.0038768115942028987,4.082694268446815e-13,0.2762091753585052
54,0.00394927536231884,3.931647854478926e-13,0.2760020193498257
55,0.004021739130434783,3.788747403016871e-13,0.27556380158278326
56,0.004094202898550725,3.653434831113546e-13,0.2750011075040253
57,0.004166666666666667,3.525194481408841e-13,0.2743879136751526
58,0.004239130434782609,3.403547530592373e-13,0.27375433711133407
59,0.004311594202898551,3.288047983340892e-13,0.2730810984299955
60,0.004384057971014493,3.178279962897137e-13,0.2722998038901754
