model,tracer,z,observable,observed,sigma,predicted,pull
lcdm,BGS,0.295,DV_over_rd,7.942,0.075,7.9711008979988405,0.38801197331787074
lcdm,LRG1,0.51,DM_over_rd,13.588,0.167,13.358692522520759,-1.3730986675403622
lcdm,LRG1,0.51,DH_over_rd,21.863,0.425,22.520706857901896,1.547545548004462
lcdm,LRG2,0.706,DM_over_rd,17.351,0.177,17.51947689018916,0.9518468372269016
lcdm,LRG2,0.706,DH_over_rd,19.455,0.33,19.984666830284855,1.6050510008632017
lcdm,LRG3+ELG1,0.934,DM_over_rd,21.576,0.152,21.775233123875722,1.3107442360244848
lcdm,LRG3+ELG1,0.934,DH_over_rd,17.641,0.193,17.415877910924983,-1.1664356946891956
lcdm,ELG2,1.321,DM_over_rd,27.601,0.318,27.81076950210802,0.659652522352266
lcdm,ELG2,1.321,DH_over_rd,14.176,0.221,13.949476244024474,-1.0249943709299818
lcdm,QSO,1.484,DM_over_rd,30.512,0.76,29.98688576128714,-0.6909397877800784
lcdm,QSO,1.484,DH_over_rd,12.817,0.516,12.776323880925103,-0.07882968812964532
lcdm,Lya,2.33,DM_over_rd,38.988,0.531,38.8244193424606,-0.30806150195743603
lcdm,Lya,2.33,DH_over_rd,8.632,0.101,8.550779096343577,-0.8041673629348777
cpl,BGS,0.295,DV_over_rd,7.942,0.075,7.923978892230986,-0.24028143692018963
cpl,LRG1,0.51,DM_over_rd,13.588,0.167,13.275786593942039,-1.8695413536404817
cpl,LRG1,0.51,DH_over_rd,21.863,0.425,22.310037531238127,1.0518530146779463
cpl,LRG2,0.706,DM_over_rd,17.351,0.177,17.407769773910303,0.3207331859339204
cpl,LRG2,0.706,DH_over_rd,19.455,0.33,19.900523244051385,1.3500704365193539
cpl,LRG3+ELG1,0.934,DM_over_rd,21.576,0.152,21.658395562843918,0.5420760713415609
cpl,LRG3+ELG1,0.934,DH_over_rd,17.641,0.193,17.44673104080805,-1.006574918092996
cpl,ELG2,1.321,DM_over_rd,27.601,0.318,27.727082293269678,0.3964851989612547
cpl,ELG2,1.321,DH_over_rd,14.176,0.221,14.071631535949743,-0.4722554934400765
cpl,QSO,1.484,DM_over_rd,30.512,0.76,29.924258576936897,-0.7733439777146105
cpl,QSO,1.484,DH_over_rd,12.817,0.516,12.910818141739446,0.18181810414621258
cpl,Lya,2.33,DM_over_rd,38.988,0.531,38.873019288420814,-0.2165361799984668
cpl,Lya,2.33,DH_over_rd,8.632,0.101,8.667616214442116,0.3526357865556099
ash,BGS,0.295,DV_over_rd,7.942,0.075,7.922069449682694,-0.2657406708974127
ash,LRG1,0.51,DM_over_rd,13.588,0.167,13.275254917653518,-1.8727250439909056
ash,LRG1,0.51,DH_over_rd,21.863,0.425,22.327982524945362,1.0940765292832064
ash,LRG2,0.706,DM_over_rd,17.351,0.177,17.41058687110537,0.3366489892958781
ash,LRG2,0.706,DH_over_rd,19.455,0.33,19.914556217418433,1.3925945982376802
ash,LRG3+ELG1,0.934,DM_over_rd,21.576,0.152,21.662983230414024,0.5722580948291046
ash,LRG3+ELG1,0.934,DH_over_rd,17.641,0.193,17.447935557458347,-1.000333899179539
ash,ELG2,1.321,DM_over_rd,27.601,0.318,27.72870946641291,0.40160209563808014
ash,ELG2,1.321,DH_over_rd,14.176,0.221,14.057480687539389,-0.5362864817222226
ash,QSO,1.484,DM_over_rd,30.512,0.76,29.923355812204512,-0.7745318260466947
ash,QSO,1.484,DH_over_rd,12.817,0.516,12.89426993172325,0.14974792969621906
ash,Lya,2.33,DM_over_rd,38.988,0.531,38.85914687702323,-0.24266124854382545
ash,Lya,2.33,DH_over_rd,8.632,0.101,8.656111303105867,0.23872577332541647
